year_id,team_id,games,ws_win,wins,team_name
1871,BS1,31,NA,20,Boston Red Stockings
1871,CH1,28,NA,19,Chicago White Stockings
1871,CL1,29,NA,10,Cleveland Forest Citys
1871,FW1,19,NA,7,Fort Wayne Kekiongas
1871,NY2,33,NA,16,New York Mutuals
1871,PH1,28,NA,21,Philadelphia Athletics
1871,RC1,25,NA,4,Rockford Forest Citys
1871,TRO,29,NA,13,Troy Haymakers
1871,WS3,32,NA,15,Washington Olympics
1872,BL1,58,NA,35,Baltimore Canaries
1872,BR1,29,NA,3,Brooklyn Eckfords
1872,BR2,37,NA,9,Brooklyn Atlantics
1872,BS1,48,NA,39,Boston Red Stockings
1872,CL1,22,NA,6,Cleveland Forest Citys
1872,MID,24,NA,5,Middletown Mansfields
1872,NY2,56,NA,34,New York Mutuals
1872,PH1,47,NA,30,Philadelphia Athletics
1872,TRO,25,NA,15,Troy Haymakers
1872,WS3,9,NA,2,Washington Olympics
1872,WS4,11,NA,0,Washington Nationals
1873,BL1,57,NA,34,Baltimore Canaries
1873,BL4,6,NA,0,Baltimore Marylands
1873,BR2,55,NA,17,Brooklyn Atlantics
1873,BS1,60,NA,43,Boston Red Stockings
1873,ELI,23,NA,2,Elizabeth Resolutes
1873,NY2,53,NA,29,New York Mutuals
1873,PH1,52,NA,28,Philadelphia Athletics
1873,PH2,53,NA,36,Philadelphia Whites
1873,WS5,39,NA,8,Washington Blue Legs
1874,BL1,47,NA,9,Baltimore Canaries
1874,BR2,56,NA,22,Brooklyn Atlantics
1874,BS1,71,NA,52,Boston Red Stockings
1874,CH2,59,NA,28,Chicago White Stockings
1874,HR1,53,NA,16,Hartford Dark Blues
1874,NY2,65,NA,42,New York Mutuals
1874,PH1,55,NA,33,Philadelphia Athletics
1874,PH2,58,NA,29,Philadelphia Whites
1875,BR2,44,NA,2,Brooklyn Atlantics
1875,BS1,82,NA,71,Boston Red Stockings
1875,CH2,69,NA,30,Chicago White Stockings
1875,HR1,86,NA,54,Hartford Dark Blues
1875,KEO,13,NA,1,Keokuk Westerns
1875,NH1,47,NA,7,New Haven Elm Citys
1875,NY2,71,NA,30,New York Mutuals
1875,PH1,77,NA,53,Philadelphia Athletics
1875,PH2,70,NA,37,Philadelphia Whites
1875,PH3,14,NA,2,Philadelphia Centennials
1875,SL1,19,NA,4,St. Louis Red Stockings
1875,SL2,70,NA,39,St. Louis Brown Stockings
1875,WS6,28,NA,5,Washington Nationals
1876,BSN,70,NA,39,Boston Red Caps
1876,CHN,66,NA,52,Chicago White Stockings
1876,CN1,65,NA,9,Cincinnati Reds
1876,HAR,69,NA,47,Hartford Dark Blues
1876,LS1,69,NA,30,Louisville Grays
1876,NY3,57,NA,21,New York Mutuals
1876,PHN,60,NA,14,Philadelphia Athletics
1876,SL3,64,NA,45,St. Louis Brown Stockings
1877,BSN,61,NA,42,Boston Red Caps
1877,CHN,60,NA,26,Chicago White Stockings
1877,CN1,58,NA,15,Cincinnati Reds
1877,HAR,60,NA,31,Hartford Dark Blues
1877,LS1,61,NA,35,Louisville Grays
1877,SL3,60,NA,28,St. Louis Brown Stockings
1878,BSN,60,NA,41,Boston Red Caps
1878,CHN,61,NA,30,Chicago White Stockings
1878,CN1,61,NA,37,Cincinnati Reds
1878,IN1,63,NA,24,Indianapolis Blues
1878,ML2,61,NA,15,Milwaukee Grays
1878,PRO,62,NA,33,Providence Grays
1879,BFN,79,NA,46,Buffalo Bisons
1879,BSN,84,NA,54,Boston Red Caps
1879,CHN,83,NA,46,Chicago White Stockings
1879,CL2,82,NA,27,Cleveland Blues
1879,CN1,81,NA,43,Cincinnati Reds
1879,PRO,85,NA,59,Providence Grays
1879,SR1,71,NA,22,Syracuse Stars
1879,TRN,77,NA,19,Troy Trojans
1880,BFN,85,NA,24,Buffalo Bisons
1880,BSN,86,NA,40,Boston Red Caps
1880,CHN,86,NA,67,Chicago White Stockings
1880,CL2,85,NA,47,Cleveland Blues
1880,CN1,83,NA,21,Cincinnati Reds
1880,PRO,87,NA,52,Providence Grays
1880,TRN,83,NA,41,Troy Trojans
1880,WOR,85,NA,40,Worcester Ruby Legs
1881,BFN,83,NA,45,Buffalo Bisons
1881,BSN,83,NA,38,Boston Red Caps
1881,CHN,84,NA,56,Chicago White Stockings
1881,CL2,85,NA,36,Cleveland Blues
1881,DTN,84,NA,41,Detroit Wolverines
1881,PRO,85,NA,47,Providence Grays
1881,TRN,85,NA,39,Troy Trojans
1881,WOR,83,NA,32,Worcester Ruby Legs
1882,BFN,84,NA,45,Buffalo Bisons
1882,BL2,74,NA,19,Baltimore Orioles
1882,BSN,85,NA,45,Boston Red Caps
1882,CHN,84,NA,55,Chicago White Stockings
1882,CL2,84,NA,42,Cleveland Blues
1882,CN2,80,NA,55,Cincinnati Red Stockings
1882,DTN,86,NA,42,Detroit Wolverines
1882,LS2,79,NA,42,Louisville Eclipse
1882,PH4,75,NA,41,Philadelphia Athletics
1882,PRO,84,NA,52,Providence Grays
1882,PT1,79,NA,39,Pittsburg Alleghenys
1882,SL4,79,NA,37,St. Louis Brown Stockings
1882,TRN,85,NA,35,Troy Trojans
1882,WOR,84,NA,18,Worcester Ruby Legs
1883,BFN,98,NA,52,Buffalo Bisons
1883,BL2,96,NA,28,Baltimore Orioles
1883,BSN,98,NA,63,Boston Beaneaters
1883,CHN,98,NA,59,Chicago White Stockings
1883,CL2,100,NA,55,Cleveland Blues
1883,CL5,97,NA,32,Columbus Buckeyes
1883,CN2,98,NA,61,Cincinnati Red Stockings
1883,DTN,101,NA,40,Detroit Wolverines
1883,LS2,98,NA,52,Louisville Eclipse
1883,NY1,98,NA,46,New York Gothams
1883,NY4,97,NA,54,New York Metropolitans
1883,PH4,98,NA,66,Philadelphia Athletics
1883,PHI,99,NA,17,Philadelphia Quakers
1883,PRO,98,NA,58,Providence Grays
1883,PT1,98,NA,31,Pittsburg Alleghenys
1883,SL4,98,NA,65,St. Louis Browns
1884,ALT,25,NA,6,Altoona Mountain City
1884,BFN,114,N,64,Buffalo Bisons
1884,BL2,108,N,63,Baltimore Orioles
1884,BLU,105,NA,58,Baltimore Monumentals
1884,BR3,109,N,40,Brooklyn Atlantics
1884,BSN,116,N,73,Boston Beaneaters
1884,BSU,109,NA,58,Boston Reds
1884,CHN,112,N,62,Chicago White Stockings
1884,CHU,92,NA,41,Chicago/Pittsburgh (Union League)
1884,CL2,113,N,35,Cleveland Blues
1884,CL5,110,N,69,Columbus Buckeyes
1884,CN2,112,N,68,Cincinnati Red Stockings
1884,CNU,103,NA,69,Cincinnati Outlaw Reds
1884,DTN,114,N,28,Detroit Wolverines
1884,IN2,110,N,29,Indianapolis Hoosiers
1884,KCU,82,NA,16,Kansas City Cowboys
1884,LS2,110,N,68,Louisville Eclipse
1884,MLU,12,NA,8,Milwaukee Brewers
1884,NY1,116,N,62,New York Gothams
1884,NY4,112,N,75,New York Metropolitans
1884,PH4,108,N,61,Philadelphia Athletics
1884,PHI,113,N,39,Philadelphia Quakers
1884,PHU,67,NA,21,Philadelphia Keystones
1884,PRO,114,Y,84,Providence Grays
1884,PT1,110,N,30,Pittsburg Alleghenys
